disciplines,Img
3x3 Basketball,https://i.imgur.com/P3zAYnH.png
"3x3 Basketball', 'Basketball",https://i.imgur.com/P3zAYnH.png
Archery,https://i.imgur.com/5hN5x7y.png
Artistic Gymnastics,https://i.imgur.com/JALfJCG.png
Artistic Swimming,https://i.postimg.cc/g0YvnSRX/New-Project-43.png
Athletics,https://i.imgur.com/1aFGJqG.png
Badminton,https://i.imgur.com/FLKKIIw.png
Basketball,https://i.imgur.com/P3zAYnH.png
Beach Volleyball,https://i.imgur.com/0sTlKCL.png
Boxing,https://i.imgur.com/P3zAYnH.png
Breaking,https://i.postimg.cc/SxRTJKhb/New-Project-42.png
Canoe Slalom,https://i.imgur.com/iYl6Jx6.png
Canoe Sprint,https://i.imgur.com/IRrjFg2.png
Cycling BMX Freestyle,https://i.imgur.com/RDDQemj.png
Cycling BMX Racing,https://i.imgur.com/RDDQemj.png
Cycling Mountain Bike,https://i.imgur.com/FSLUGC7.png
Cycling Road,https://i.imgur.com/fhv2xDN.png
"Cycling Road', 'Cycling Mountain Bike",https://i.imgur.com/FSLUGC7.png
"Cycling Road', 'Cycling Track",https://i.imgur.com/soEPDBa.png
"Cycling Road', 'Triathlon",https://i.imgur.com/FSLUGC7.png
Cycling Track,https://i.imgur.com/soEPDBa.png
Diving,https://i.imgur.com/0f6CweY.png
Equestrian,https://i.imgur.com/yhHm3UM.png
Fencing,https://i.imgur.com/ToIaRyw.png
Football,https://i.imgur.com/4Hh9t9T.png
Golf,https://i.imgur.com/4jrykzR.png
Handball,https://i.imgur.com/DBILx1N.png
Hockey,https://i.imgur.com/HFy7mtN.png
Judo,https://i.imgur.com/TJts4rn.png
Marathon Swimming,https://i.imgur.com/jKnTako.png
"Marathon Swimming', 'Swimming",https://i.imgur.com/jKnTako.png
Modern Pentathlon,https://i.imgur.com/7RlOX8N.png
Rhythmic Gymnastics,https://i.imgur.com/Fn8wLve.png
Rowing,https://i.imgur.com/VIpmDID.png
Rugby Sevens,https://i.imgur.com/jkO48L9.png
Sailing,https://i.imgur.com/otvfML0.png
Shooting,https://i.imgur.com/J7VpWvT.png
Skateboarding,https://i.imgur.com/yzqhKAE.png
Sport Climbing,https://i.imgur.com/htVXQB2.png
Surfing,https://i.imgur.com/YsJ94MY.png
Swimming,https://i.imgur.com/ona5yf3.png
Table Tennis,https://i.imgur.com/ZkCSGB9.png
Taekwondo,https://i.imgur.com/N1Pb0BN.png
Tennis,https://i.imgur.com/wxk0VT5.png
Trampoline Gymnastics,https://i.imgur.com/rHcbzW8.png
Triathlon,https://i.imgur.com/j3NBCEq.png
Volleyball,https://i.imgur.com/Pn5PGY7.png
Water Polo,https://i.imgur.com/gvRQuva.png
Weightlifting,https://i.imgur.com/mi1I4oW.png
Wrestling,https://i.imgur.com/3pBynZU.png
